ICAO,flight_count,Name
HUA,35,Hungary Airlines
ECC,35,Éclair
OKT,34,Soko Aviation
OKE,34,
CSR,34,CAE GmbH
JAS,34,Jet Aviation Flight Services
DGA,34,Yellow River Delta General Aviation
VND,34,Avionord
HLF,34,Central Airlines
IAM,34,Aeronautica Militare Italiana
N49,34,
DAS,34,Dialogue-S-Aero
T7F,34,
T7A,34,
CHH,33,Hainan Airlines
DMQ,33,Daallo Airlines (Somalia)
TFL,33,TUI fly Netherlands
HFM,33,Hi Fly
AEL,33,Aegle Aviation (Aruba)
PHA,33,ASL Airlines Australia
AME,33,Spanish Air Force
NFA,33,North Flying
N47,32,
N95,32,
LZP,32,Air Ban
MAR,32,Air Mediterranean
PHU,32,Pannon Air Service
N42,32,
MSA,32,Poste Air Cargo
N16,32,
OMX,32,
OOD,32,
UZB,32,Uzbekistan Airways
FHV,32,Flyverhjemmevaernet
MMO,31,Malta MedAir
DMM,31,
OSY,31,Open Skies Consultative Commission (OSCC)
CHR,31,"Chairman Airmotive II, LLC"
MJF,31,Mjet
DME,31,
EDW,31,Edelweiss Air
LJC,31,Regency Jet
DCJ,31,
DGI,31,
N35,30,
N93,30,
DHT,30,
VVV,30,Valair-Aviacao
AUR,30,Aurigny Air Services
PHV,30,Phenix Aviation
OYG,30,
N94,29,
DHJ,29,
N68,29,
BRO,29,2Excel Aviation
SUZ,29,Zeusch Aviation
N76,29,
N26,29,
JVW,29,Jet View
TLJ,29,Thalair
DBP,29,Compagnie Africaine d'Aviation
SPM,29,Air Saint Pierre
FHR,29,hoper
QQE,29,Qatar Executive
FIX,29,Fox Aviation
AHY,29,Azerbaijan Airlines
DEY,28,
VPB,28,Veteran Air
OOG,28,
BCI,28,Blue Islands
DSO,27,Dassault Falcon Service
LSV,27,Slovenian Ministry of Defence
N57,27,
VAJ,27,Avcon Jet
HBD,27,Hubbardair Ltd.
AWC,27,Titan Airways
LUA,27,Luminair
SEE,27,Shaheen Air Cargo
LLT,26,Classic Jet
MGL,26,MIAT - Mongolian Airlines
PHM,26,PHI
N32,26,
RYS,26,BUZZ
MLH,26,Avion Express Malta
OOV,26,
IRL,26,Irish Air Corps
T7T,26,
BOM,26,Haute Aviation
N24,26,
N54,25,
JTI,25,Imperialjet Europe
ESW,25,ASG Business Aviation
ALA,25,Albion Aviation
SVF,25,Swedish Armed Forces
AEH,25,Amelia International
N61,25,
GFM,25,Grafair Flight Management
T7S,25,
SMR,25,Somon Air
DEQ,25,
OKB,25,
SEM,24,Cape Central Airways
LTC,24,Chater JETS
N59,24,
PHP,24,Pannon Airlines Air-transporting
OYS,24,
PHF,24,Shaanxi Phoenix International Flying College
JCO,24,Jet Concierge Club
TES,24,Taespejo Portugal
CPV,24,Air Corporate
N56,24,
JNJ,24,JoinJet
N37,24,
MOB,24,
N30,24,
DMJ,24,Global Air
9AC,23,
HBZ,23,
P4B,23,
IBI,23,
DAW,23,Duo Airways
N41,23,
OKI,23,
N79,23,
SWW,23,Swiss Private Jet
RCR,23,ROMCargo Airlines
N63,22,
R20,22,
OKK,22,
FHS,22,FlyJaya
N23,22,
DBT,22,DB Aviation
N36,22,
DGG,22,
GEL,22,Geo Sky
OEL,22,Ontario Express
N45,22,
N40,22,
PIK,21,Polizeihubschrauberstaffel Sachsen-Anhalt
LOL,21,Easycharter
ITL,21,Italfly
NJU,21,Netjets Air Transport UK
HYP,21,Hyperion Aviation
VJA,21,Vista America
N91,21,
N48,21,
TCC,21,Trans Continental Airlines
SCO,21,Air Charter Scotland Europe
T7K,21,
N33,21,
N74,21,
DGD,20,Skyway
EFW,20,BA EuroFlyer
DIY,20,
PJZ,20,Premium Jet
EJO,20,Execujet Middle East
FOE,20,Fly One Airlines
RFR,20,Royal Air Force (R.A.F.)
CYF,20,Tus Airways
APP,20,Alpavia
HMJ,20,Harmony Jets
OYF,20,
OEX,20,
JOK,20,
MAA,19,MasAir
FHP,19,
HBS,19,
N86,19,
LXM,19,Luxaviation Malta
RDF,19,Eurocopter Deutschland
KFE,19,Skyfirst
OON,19,
VTF,19,Veteran Avia
SSG,19,Slovak Government Flying Service
OKJ,19,Okada Airlines
JEF,19,Jetflite
TCL,19,Coastal Air Transport
KZR,18,Air Astana
DMD,18,Namdeb Diamond Corporation
N75,18,
T7V,18,
DAB,18,Dassault Aviation
SXN,18,SaxonAir
TCE,18,Trans Colorado Airlines
INI,18,Initium Aviation
DIX,18,Dix Aviation
EZE,18,Air Kilroe Limited
NAF,18,Royal Netherlands Air Force
JSD,18,B. J. Aviation
ORT,18,Ortac AOC Ltd.
HBC,18,Haitian Aviation Line
ORF,18,Oman Royal Flight
4XC,17,
Z3M,17,
DMZ,17,
N19,17,
MED,17,Med Airways
GNJ,17,GainJet
PHH,17,Polizeihubschrauberstaffel Hessen
